hot,lat,lng
76,30.969697001,121.651337763
94,30.969880115,121.502978496
104,30.970441476,121.530421802
104,30.970441476,121.530421802
174,30.970573485,121.451518653
86,30.970714522,121.292894342
86,30.970714522,121.292894342
86,30.970714522,121.292894342
86,30.970714522,121.292894342
49,30.971626819,121.184960502
49,30.971626819,121.184960502
92,30.972360557,121.632402306
45,30.972362879,121.734976892
33,30.972394566,121.822761127
119,30.972423488,121.610016769
119,30.972423488,121.610016769
119,30.972423488,121.610016769
49,30.972543735,121.681534291
156,30.972628983,121.461312214
251,30.973002751,121.40218672
33,30.973212638,121.853263634
46,30.973402073,121.753463602
108,30.974077165,121.554273977
44,30.974275254,121.744980041
36,30.97434131,121.826368184
43,30.974407984,121.739632369
44,30.974595719,121.743878723
44,30.974595719,121.743878723
143,30.974904154,121.475299841
46,30.97492266,121.753645684
96,30.975479389,121.522983099
96,30.975479389,121.522983099
96,30.975479389,121.522983099
96,30.975479389,121.522983099
96,30.975479389,121.522983099
203,30.976019656,121.446755488
49,30.976566069,121.752890394
90,30.976747122,121.522946344
90,30.976747122,121.522946344
90,30.977140618,121.514953108
90,30.977140618,121.514953108
137,30.977190411,121.471792023
97,30.977740008,121.293211277
97,30.977740008,121.293211277
97,30.977740008,121.293211277
50,30.97777637,121.748914741
104,30.9785056,121.582049999
51,30.978556459,121.7476959
85,30.979525303,121.516771877
85,30.979525303,121.516771877
40,30.979986653,121.881714387
84,30.98110992,121.650276813
112,30.981969038,121.562886794
112,30.981969038,121.562886794
42,30.982026731,121.870505659
61,30.982199623,121.748651175
61,30.982387802,121.741858969
61,30.982387802,121.741858969
98,30.982514252,121.550989471
43,30.982841341,121.870627067
43,30.982841341,121.870627067
43,30.982841341,121.870627067
66,30.983056914,121.667052061
77,30.983346606,121.658064692
111,30.984047045,121.567503701
111,30.984047045,121.567503701
111,30.984047045,121.567503701
43,30.984499199,121.870776904
304,30.984516458,121.442708589
151,30.984752289,121.485640754
109,30.985198987,121.572424777
101,30.985355077,121.573213123
42,30.985463039,121.870706499
42,30.985463039,121.870706499
108,30.985931916,121.568420127
235,30.986080879,121.461748001
94,30.986438053,121.25219792
52,30.986489365,121.815494189
110,30.986901023,121.566379105
110,30.986901023,121.566379105
81,30.987685707,121.787859265
342,30.988057788,121.410535544
86,30.988117038,121.755240483
86,30.988117038,121.755240483
86,30.988117038,121.755240483
86,30.988117038,121.755240483
84,30.988139567,121.508347467
107,30.988202155,121.559462817
107,30.988202155,121.559462817
107,30.988202155,121.559462817
85,30.988276493,121.770262902
113,30.988314999,121.284068521
93,30.988464049,121.257086663
109,30.989220729,121.572381573
109,30.989220729,121.572381573
73,30.989513766,121.667365002
117,30.990255962,121.561236862
96,30.990794683,121.651075948
96,30.990794683,121.651075948
96,30.990794683,121.651075948
96,30.990794683,121.651075948
96,30.990794683,121.651075948
96,30.990794683,121.651075948
96,30.990794683,121.651075948
96,30.990794683,121.651075948
79,30.990904023,121.69543478
79,30.990904023,121.69543478
177,30.990993374,121.480464714
342,30.991017027,121.431064281
342,30.991017027,121.431064281
342,30.991017027,121.431064281
342,30.991017027,121.431064281
96,30.99115441,121.306573802
92,30.991262303,121.265023505
101,30.99133589,121.250833966
325,30.991347792,121.441878386
45,30.991349229,121.848233155
329,30.991629064,121.437631541
85,30.991678449,121.745317711
76,30.991834258,121.801967408
76,30.991834258,121.801967408
99,30.992666784,121.215673725
320,30.99313595,121.444308713
114,30.993431647,121.605363574
114,30.993431647,121.605363574
309,30.993769514,121.447617418
343,30.994765992,121.436291167
105,30.995405751,121.74634134
90,30.995765339,121.205776452
115,30.996365923,121.603568765
115,30.996365923,121.603568765
115,30.996365923,121.603568765
327,30.997069012,121.449676735
355,30.997444028,121.379455829
338,30.99748508,121.447025418
338,30.99748508,121.447025418
339,30.997572148,121.375068834
111,30.998030035,121.527773537
350,30.998102972,121.376663899
246,30.998364277,121.351650907
246,30.998364277,121.351650907
246,30.998364277,121.351650907
246,30.998364277,121.351650907
93,30.998364824,121.587810488
93,30.998364824,121.587810488
93,30.998364824,121.587810488
383,30.998375904,121.38607212
156,30.998506459,121.494204265
156,30.998506459,121.494204265
156,30.998506459,121.494204265
156,30.998506459,121.494204265
356,30.998980998,121.37837958
381,30.999092783,121.43911594
12,31.000092924,121.132420427
102,31.000349668,121.272751009
383,31.0005292,121.451539243
383,31.0005292,121.451539243
383,31.0005292,121.451539243
376,31.000672097,121.38121101
429,31.000769668,121.440669077
429,31.000769668,121.440669077
429,31.000769668,121.440669077
429,31.000769668,121.440669077
429,31.000769668,121.440669077
429,31.000769668,121.440669077
459,31.000858258,121.398334641
459,31.000858258,121.398334641
459,31.000858258,121.398334641
85,31.000889345,121.659476354
85,31.000889345,121.659476354
149,31.000998317,121.736511953
149,31.000998317,121.736511953
84,31.001177963,121.196899125
144,31.002528773,121.796198426
109,31.002638344,121.284349681
109,31.002638344,121.284349681
155,31.002724526,121.777762121
10,31.003699081,121.080105018
367,31.003936081,121.460310286
15,31.004264934,121.129566983
170,31.004537512,121.751585176
48,31.004711432,121.85798194
48,31.004711432,121.85798194
48,31.004711432,121.85798194
467,31.004729205,121.430595765
467,31.004729205,121.430595765
129,31.004838128,121.804093203
356,31.005423586,121.377752106
467,31.005468444,121.433524665
467,31.005468444,121.433524665
467,31.005468444,121.433524665
107,31.005645657,121.633751355
465,31.005677007,121.431382549
389,31.005891534,121.457947364
6,31.006062596,121.051067993
99,31.006165337,121.258547378
99,31.006165337,121.258547378
130,31.006254069,121.277398007
121,31.006496308,121.24495805
150,31.006569111,121.721083368
477,31.00658323,121.433770365
419,31.006737186,121.410575933
419,31.006737186,121.410575933
127,31.006796351,121.274925489
492,31.006911565,121.427216781
179,31.006911811,121.770081128
181,31.007090312,121.756653433
181,31.007090312,121.756653433
181,31.007090312,121.756653433
484,31.00715699,121.431030012
105,31.00731782,121.299067655
121,31.007337551,121.244530706
109,31.007366209,121.256474113
111,31.007562527,121.251308609
111,31.007562527,121.251308609
501,31.007570858,121.407975235
501,31.007570858,121.407975235
501,31.007570858,121.407975235
501,31.007570858,121.407975235
71,31.00858943,121.831441076
129,31.008722158,121.540894052
129,31.008722158,121.540894052
129,31.008722158,121.540894052
121,31.008835629,121.245741076
484,31.008954206,121.421928025
436,31.009066856,121.415576598
435,31.009388212,121.41146915
505,31.010142014,121.424946493
436,31.010165538,121.416247592
191,31.010312259,121.743804954
151,31.010521752,121.563749191
151,31.010521752,121.563749191
123,31.010539984,121.241836428
501,31.010778398,121.428311925
501,31.010778398,121.428311925
501,31.010778398,121.428311925
501,31.010778398,121.428311925
501,31.010778398,121.428311925
501,31.010778398,121.428311925
141,31.010879942,121.567225117
445,31.010933846,121.418255265
445,31.010933846,121.418255265
445,31.010933846,121.418255265
445,31.010933846,121.418255265
166,31.010955695,121.316639909
492,31.011300353,121.432223286
492,31.011300353,121.432223286
109,31.011348611,121.255089888
29,31.011409422,121.895369988
29,31.011409422,121.895369988
525,31.011641461,121.409860042
525,31.011641461,121.409860042
119,31.011653059,121.274480186
119,31.011653059,121.274480186
121,31.011710544,121.230107798
99,31.01183706,121.260477107
112,31.012138294,121.292032523
53,31.012173818,121.156094338
93,31.012199961,121.199165695
93,31.012199961,121.199165695
93,31.012331061,121.306516136
292,31.012859413,121.359888538
292,31.012859413,121.359888538
292,31.012859413,121.359888538
292,31.012859413,121.359888538
292,31.012859413,121.359888538
292,31.012859413,121.359888538
292,31.012859413,121.359888538
292,31.012859413,121.359888538
292,31.012859413,121.359888538
292,31.012859413,121.359888538
292,31.012859413,121.359888538
292,31.012859413,121.359888538
292,31.012859413,121.359888538
292,31.012859413,121.359888538
292,31.012859413,121.359888538
292,31.012859413,121.359888538
292,31.012859413,121.359888538
292,31.012859413,121.359888538
292,31.012859413,121.359888538
292,31.012859413,121.359888538
292,31.012859413,121.359888538
292,31.012859413,121.359888538
292,31.012859413,121.359888538
292,31.012859413,121.359888538
292,31.012859413,121.359888538
292,31.012859413,121.359888538
292,31.012859413,121.359888538
292,31.012859413,121.359888538
292,31.012859413,121.359888538
292,31.012859413,121.359888538
292,31.012859413,121.359888538
292,31.012859413,121.359888538
292,31.012859413,121.359888538
292,31.012859413,121.359888538
292,31.012859413,121.359888538
292,31.012859413,121.359888538
292,31.012859413,121.359888538
292,31.012859413,121.359888538
292,31.012859413,121.359888538
292,31.012859413,121.359888538
292,31.012859413,121.359888538
292,31.012859413,121.359888538
292,31.012859413,121.359888538
292,31.012859413,121.359888538
292,31.012859413,121.359888538
292,31.012859413,121.359888538
292,31.012859413,121.359888538
292,31.012859413,121.359888538
292,31.012859413,121.359888538
292,31.012859413,121.359888538
292,31.012859413,121.359888538
292,31.012859413,121.359888538
292,31.012859413,121.359888538
292,31.012859413,121.359888538
292,31.012859413,121.359888538
292,31.012859413,121.359888538
292,31.012859413,121.359888538
292,31.012859413,121.359888538
292,31.012859413,121.359888538
292,31.012859413,121.359888538
292,31.012859413,121.359888538
292,31.012859413,121.359888538
292,31.012859413,121.359888538
292,31.012859413,121.359888538
292,31.012859413,121.359888538
292,31.012859413,121.359888538
292,31.012859413,121.359888538
292,31.012859413,121.359888538
292,31.012859413,121.359888538
292,31.012859413,121.359888538
292,31.012859413,121.359888538
292,31.012859413,121.359888538
292,31.012859413,121.359888538
292,31.012859413,121.359888538
292,31.012859413,121.359888538
292,31.012859413,121.359888538
292,31.012859413,121.359888538
292,31.012859413,121.359888538
292,31.012859413,121.359888538
292,31.012859413,121.359888538
292,31.012859413,121.359888538
485,31.013307162,121.421640236
485,31.013307162,121.421640236
162,31.013386523,121.3168855
162,31.013799908,121.322650628
521,31.013827569,121.428358419
135,31.014123955,121.533320783
525,31.014333412,121.426428907
525,31.014333412,121.426428907
525,31.014333412,121.426428907
523,31.014362828,121.427123976
523,31.014362828,121.427123976
515,31.01501475,121.406749088
515,31.01501475,121.406749088
515,31.01501475,121.406749088
105,31.015312446,121.258831446
105,31.015312446,121.258831446
99,31.015355896,121.202561419
99,31.015355896,121.202561419
99,31.015355896,121.202561419
525,31.015492889,121.426713725
525,31.015492889,121.426713725
525,31.015492889,121.426713725
110,31.015495087,121.209321484
102,31.015527236,121.206659395
102,31.015527236,121.206659395
102,31.015527236,121.206659395
102,31.015527236,121.206659395
102,31.015527236,121.206659395
102,31.015527236,121.206659395
119,31.015584724,121.62615474
447,31.015679596,121.409966262
447,31.015679596,121.409966262
207,31.01582887,121.507977311
475,31.015931315,121.420281474
475,31.015931315,121.420281474
475,31.015931315,121.420281474
475,31.015931315,121.420281474
475,31.015931315,121.420281474
158,31.015964896,121.56034167
207,31.015982289,121.340421747
207,31.015982289,121.340421747
207,31.015982289,121.340421747
122,31.016055141,121.617050022
122,31.016055141,121.617050022
122,31.016055141,121.617050022
122,31.016055141,121.617050022
507,31.016211848,121.422471897
459,31.016254485,121.417504615
89,31.016420078,121.193696483
508,31.01648617,121.404494027
508,31.01648617,121.404494027
94,31.016501632,121.199534502
94,31.016501632,121.199534502
94,31.016501632,121.199534502
94,31.016501632,121.199534502
123,31.016519558,121.227226107
87,31.016521419,121.192116398
87,31.016521419,121.192116398
87,31.016521419,121.192116398
87,31.016521419,121.192116398
87,31.016521419,121.192116398
155,31.016834021,121.322859847
160,31.016911145,121.326999217
160,31.016911145,121.326999217
160,31.016911145,121.326999217
160,31.016911145,121.326999217
105,31.017108946,121.258841871
133,31.017285047,121.243078663
525,31.017720383,121.409589145
525,31.017720383,121.409589145
525,31.017720383,121.409589145
525,31.017720383,121.409589145
525,31.017720383,121.409589145
434,31.017810656,121.45459271
434,31.017810656,121.45459271
434,31.017810656,121.45459271
521,31.017887869,121.425725778
521,31.017887869,121.425725778
521,31.017887869,121.425725778
521,31.017887869,121.425725778
521,31.017887869,121.425725778
521,31.017887869,121.425725778
96,31.017953013,121.199948498
96,31.017953013,121.199948498
96,31.017953013,121.199948498
96,31.017953013,121.199948498
96,31.017953013,121.199948498
515,31.018348489,121.435426825
6,31.018513754,121.023123569
102,31.018941324,121.206975345
102,31.018941324,121.206975345
102,31.018941324,121.206975345
122,31.018959496,121.599585792
449,31.018994706,121.414622128
449,31.018994706,121.414622128
449,31.018994706,121.414622128
449,31.018994706,121.414622128
107,31.019009064,121.262548555
511,31.019031644,121.406433766
107,31.019112038,121.259032365
107,31.019112038,121.259032365
493,31.019252021,121.440210867
94,31.019413245,121.195293174
459,31.019554333,121.417220934
459,31.019554333,121.417220934
490,31.019619801,121.441665516
508,31.020203418,121.422661298
508,31.020203418,121.422661298
508,31.020203418,121.422661298
515,31.020323895,121.423971201
80,31.020350166,121.669715311
80,31.020350166,121.669715311
80,31.020350166,121.669715311
172,31.020401137,121.310880016
172,31.020401137,121.310880016
128,31.020553373,121.249840819
255,31.020594457,121.772739658
531,31.020687273,121.406130433
531,31.020687273,121.406130433
531,31.020687273,121.406130433
534,31.02081455,121.406452958
534,31.02081455,121.406452958
534,31.02081455,121.406452958
534,31.02081455,121.406452958
534,31.02081455,121.406452958
534,31.02081455,121.406452958
534,31.02081455,121.406452958
90,31.021006344,121.193807843
94,31.021057688,121.195960841
94,31.021057688,121.195960841
94,31.021057688,121.195960841
