id,aqi,lan,lng,time,tz
7885,65,18.795143,110.391073,1492124400,+08:00
7886,87,19.681434,110.358891,1492124400,+08:00
7887,53,25.454085,119.007777,1492124400,+08:00
7888,70,26.263407,117.638678,1492128000,+08:00
7889,107,24.512949,117.647481,1492128000,+08:00
7890,53,26.641769,118.177708,1492128000,+08:00
7891,68,25.075123,117.017537,1492128000,+08:00
7892,46,26.665617,119.547933,1492128000,+08:00
7893,114,32.435435,105.843357,1492128000,+08:00
7894,95,31.867903,106.747478,1492128000,+08:00
7895,93,31.899413,102.224653,1492128000,+08:00
7897,112,32.916287,117.389719,1492128000,+08:00
7898,87,33.955845,116.798265,1492128000,+08:00
7899,153,30.945516,117.811267,1492128000,+08:00
7900,154,30.543494,117.063755,1492128000,+08:00
7901,117,31.7337,116.521855,1492128000,+08:00
7902,152,30.6648,117.491568,1492128000,+08:00
7903,149,30.94069,118.758588,1492128000,+08:00
7904,143,27.569517,110.001923,1492128000,+08:00
7905,160,26.893231,112.571997,1492128000,+08:00
7906,132,27.238893,111.467791,1492128000,+08:00
7907,70,28.55386,112.35518,1492128000,+08:00
7908,97,25.77051,113.014718,1492128000,+08:00
7909,114,26.420394,111.613445,1492128000,+08:00
7910,122,27.700063,111.993497,1492128000,+08:00
7911,999,39.4704,75.989755,1492128000,+08:00
7912,42,43.936771,81.324433,1492128000,+08:00
7913,87,26.855047,100.227751,1492128000,+08:00
7914,122,23.36313,103.374799,1492128000,+08:00
7915,159,45.295075,130.969333,1492128000,+08:00
7916,151,47.349916,130.297964,1492128000,+08:00
7917,153,46.646509,131.159133,1492128000,+08:00
7918,174,46.799778,130.318879,1492128000,+08:00
7919,104,50.245146,127.528287,1492128000,+08:00
7920,80,43.16642,124.350398,1492128000,+08:00
7974,171,39.32815,117.8165667,1492128000,+08:00
7975,157,39.384055,117.04264,1492128000,+08:00
7976,46,30.0506,103.8986,1492128000,+08:00
7977,157,26.567,101.72267,1492128000,+08:00
7979,89,30.6578,104.054,1492128000,+08:00
7982,55,33.6133246,130.6948903,1492131600,+09:00
7983,42,33.2013721,130.5927305,1492131600,+09:00
7984,55,33.3641693,130.8147512,1492128000,+09:00
7985,38,33.6259029,130.524812,1492131600,+09:00
7986,46,33.1794298,131.4260139,1492128000,+09:00
7987,63,33.557489,131.7327239,1492128000,+09:00
7988,38,34.7948279,132.8536574,1492131600,+09:00
8179,284,28.6522734,77.1564994,1492117200,+05:30
8181,183,28.5895657,77.0496539,1492117200,+05:30
8183,67,19.0759837,72.8776559,1492120800,+05:30
8186,166,27.2002131,78.0046892,1492120800,+05:30
8187,287,26.4709994,80.3235278,1492074000,+05:30
8188,252,26.8343552,80.8972673,1492120800,+05:30
8189,374,25.3176452,82.9739144,1492120800,+05:30
8225,34,31.930847,131.3708887,1492124400,+09:00
