R,G,B,Transparency,Distance
182,57,148,255,72.85391934009664
141,41,111,255,39.93816114323464
128,36,101,255,43.163350424513204
156,66,130,255,49.76969596748342
141,40,96,255,30.738085145992326
125,26,47,255,57.87569080920319
131,30,44,255,54.37264683664644
134,31,40,255,55.34077078841708
131,34,43,255,52.80545055145104
171,64,58,255,27.339370275249067
190,79,68,255,40.40242529884893
200,88,77,255,51.630860407191506
206,92,82,255,58.740836693748896
211,82,76,255,59.18085902042497
178,41,35,255,54.95639917502472
180,40,39,255,53.019128260556734
183,43,44,255,49.54368191115203
208,84,92,255,58.11015810356568
211,74,90,255,57.647539619043364
217,73,98,255,64.97589670129759
145,99,66,255,40.839894357038084
97,73,61,255,62.46537917248393
91,79,81,255,66.55048653942335
88,72,83,255,68.15314503158898
100,86,99,255,63.09680558671244
106,97,102,255,64.1672821777925
118,101,117,255,65.14495392747041
128,114,129,255,76.13318060048738
128,116,130,255,78.13861046244965
106,98,109,255,67.37741407497441
134,45,91,255,29.444868355597766
152,48,109,255,32.137736981517214
163,49,124,255,46.20979680113088
174,55,139,255,61.92495420256413
179,56,147,255,70.95250519508278
164,62,135,255,55.29582805679831
132,37,103,255,41.16991539729388
143,53,115,255,37.91136818915522
123,23,75,255,51.14980666525293
133,32,48,255,49.62774370787901
129,28,36,255,61.94256207692039
140,40,48,255,42.17719929562777
143,42,37,255,49.4367665073488
179,70,63,255,30.327117103293975
201,86,81,255,51.43725828408943
203,84,80,255,52.35289503543589
206,91,88,255,58.71439741811009
190,52,50,255,47.16578803628092
181,39,38,255,54.68476079019479
183,38,41,255,53.842374923857214
198,55,57,255,49.12927954361047
211,80,94,255,59.94686372581596
120,86,61,255,46.84114563325358
95,74,69,255,62.578174801677996
98,83,90,255,61.79717292334394
88,76,86,255,69.02070390450359
101,92,97,255,64.2054431541863
84,75,78,255,72.57070479701987
125,108,124,255,70.16414085738414
124,110,123,255,71.314041382119
121,36,77,255,43.37935120082074
141,44,98,255,29.147768212237246
152,45,113,255,37.04191644425183
165,51,129,255,50.814539438809994
179,57,144,255,68.05949642894167
146,49,118,255,40.96769105256194
141,49,112,255,37.17324458174285
145,55,116,255,37.80302144132089
169,68,128,255,49.86353321285971
133,33,43,255,52.4620077132886
133,33,41,255,53.90523629834587
129,33,44,255,53.6066736409466
166,61,58,255,24.79307883465636
195,77,77,255,42.40815743078724
202,79,81,255,49.53804978846895
217,81,81,255,64.40707083085648
179,34,37,255,56.87636064547387
192,43,47,255,53.13357748440291
190,44,47,255,51.413329117298325
216,77,80,255,62.38224481718836
205,72,89,255,51.28948782239282
171,118,78,255,57.974373317090425
112,75,57,255,50.923476761421426
96,85,81,255,63.61931890445853
90,79,87,255,67.83968491737178
104,89,96,255,60.02509464439413
124,111,118,255,69.14507795949622
130,112,126,255,72.14435192185887
115,99,112,255,63.12594756915767
128,40,88,255,36.08571997641867
145,47,108,255,33.20493784983798
158,48,121,255,43.11619953399001
173,54,136,255,58.91682243442205
181,54,145,255,69.99320106839782
159,57,131,255,51.017362784569016
138,46,109,255,37.21275869723547
135,46,104,255,35.17025766670139
165,70,134,255,55.028555428259985
143,43,97,255,28.27003998330028
129,31,44,255,54.72237274328724
132,30,41,255,55.998756792997966
139,39,41,255,48.56369680476726
180,63,69,255,27.1187043872592
199,76,81,255,45.734989924153275
204,85,89,255,54.36724073003667
199,94,91,255,54.994222330449205
186,41,46,255,50.68086219911076
182,31,36,255,60.42841597060966
186,33,38,255,59.88363099181522
194,49,54,255,48.587155376494856
208,84,95,255,58.78368910007581
212,79,98,255,61.613642596868324
150,97,63,255,39.25641731191874
97,80,64,255,63.20313327063846
88,78,86,255,69.4477857650253
100,84,95,255,61.29513838142792
90,69,76,255,65.89274093268736
91,80,86,255,67.04293647395998
91,77,90,255,66.76844139727382
110,34,73,255,53.957120748861655
136,46,98,255,30.817063995258444
150,45,111,255,35.54153183911785
163,46,124,255,47.15547953434749
176,49,136,255,60.76982407811358
182,53,145,255,70.48891525223628
144,49,115,255,38.77118447148518
141,50,111,255,35.97464282471192
149,55,117,255,37.870080241317254
129,30,77,255,41.78537198448882
130,33,44,255,53.12139989287357
134,31,42,255,53.89887442595407
164,50,58,255,26.907728101493692
193,74,80,255,39.40890813403244
193,77,80,255,40.40752542044795
200,92,89,255,54.32261982215297
216,76,79,255,62.166967932105656
176,27,33,255,62.52472359435825
178,24,32,255,65.66434686542077
188,39,45,255,53.41894675162078
219,83,85,255,67.073086961338
205,77,92,255,53.04890800907768
121,92,60,255,49.85447679073622
93,83,73,255,66.17934982126995
85,78,85,255,72.29196406244361
88,76,90,255,69.46101837239685
98,75,83,255,58.86114104653964
113,103,114,255,67.75863365175553
109,95,108,255,63.16952575311599
120,38,84,255,43.039574327756526
144,45,102,255,29.89581226363214
155,42,112,255,37.53367328554399
170,47,127,255,51.170237870509155
179,51,136,255,61.45512103862016
161,64,135,255,54.937628065687434
147,52,116,255,37.997074825158386
142,46,110,255,36.32993197419334
165,66,131,255,51.66367701533374
169,68,124,255,46.058619590828684
125,28,47,255,56.64567915414361
135,32,43,255,52.21215278722536
137,36,42,255,49.98554909230153
139,32,40,255,53.030254951396486
179,66,72,255,25.33089338322739
186,73,75,255,32.891036678367804
196,84,83,255,46.1530451201536
200,91,88,255,53.629604303798445
205,93,89,255,59.01316847192803
198,55,59,255,48.20968638565148
172,21,28,255,68.68681727032984
183,32,39,255,58.19880964364718
196,53,57,255,47.750742327415914
209,78,96,255,58.022077762135034
159,112,66,255,51.944174751196584
110,83,62,255,53.20295154496751
82,74,85,255,74.47973082945026
98,77,84,255,59.38025919408445
98,73,76,255,58.56440394863312
131,118,128,255,77.29757483556892
93,86,94,255,68.15081671414042
138,46,95,255,27.917291046198265
153,45,107,255,31.79383561020314
164,44,116,255,40.9238136778528
175,50,128,255,52.92807883472155
181,57,141,255,66.0134740809133
144,47,118,255,42.152093595967585
136,39,106,255,39.64418764877795
143,44,109,255,36.12049789697158
153,54,108,255,28.91729707520336
131,29,42,255,56.314547685284516
141,40,46,255,43.38935416926698
156,54,58,255,23.84615797385954
185,77,77,255,33.262217895957285
185,73,72,255,32.60185572407092
198,85,81,255,48.31769703217851
201,86,83,255,51.50028439448441
205,90,87,255,57.239498861188274
167,22,27,255,67.83189030021984
174,25,31,255,64.57012151117031
182,37,42,255,53.07041413139769
211,75,79,255,57.07122631517094
205,80,94,255,54.42775453912988
148,98,65,255,39.64476519956637
91,77,68,255,67.22097503314025
98,81,87,255,60.753778250681734
99,78,83,255,58.622074880711985
120,109,117,255,69.15800661125417
118,111,119,255,72.5950389220872
118,33,75,255,47.759305733993585
157,42,107,255,33.46599144575877
161,41,113,255,39.315363702555416
172,51,130,255,53.514623879497705
162,61,139,255,59.00525468791057
142,42,114,255,41.45557504996673
139,40,107,255,38.35488474870673
166,66,128,255,48.934768427809914
133,34,89,255,37.04118330674511
138,38,48,255,44.015490736423146
126,29,40,255,59.98168211555416
165,64,62,255,20.812752497319785
184,72,70,255,31.962742152340628
199,81,79,255,47.49784206585586
202,83,79,255,51.04708987101584
202,84,82,255,51.46946379930906
193,57,59,255,43.56917376926508
162,19,23,255,72.13491129056774
177,32,37,255,57.108385414219654
192,51,57,255,44.857166001666435
123,95,71,255,47.034805229068574
86,74,76,255,70.52564134536436
92,80,84,255,65.9429696469185
93,88,95,255,69.07904946841973
135,42,87,255,29.47077135171859
149,44,100,255,27.52710457959556
159,47,111,255,34.38323538074022
169,53,124,255,46.614011704368124
176,57,137,255,60.479458626181255
145,43,119,255,44.37314253392223
143,42,112,255,39.52574626147375
149,49,113,255,35.773668124074625
164,63,129,255,49.383540089759734
125,27,78,255,46.58030106313579
146,42,59,255,30.88660175726904
136,32,49,255,47.68416744784517
143,45,42,255,43.85110415156365
178,69,66,255,27.634929045727638
192,72,71,255,39.03232127627527
197,75,72,255,44.322797628583665
201,83,79,255,50.135792768918485
201,89,85,255,53.0892937976101
168,32,36,255,55.14757291640375
170,27,33,255,60.81196472867097
184,39,46,255,50.388461750586345
210,71,76,255,55.47892226431109
168,116,76,255,55.41461743253433
109,81,60,255,54.04369761816997
82,77,81,255,74.87296487289395
98,83,88,255,61.51750017994088
107,95,109,255,65.08623145393078
128,118,127,255,77.69200857103108
115,31,67,255,52.77537199387514
138,42,88,255,27.73793870720189
150,47,102,255,26.984124545439816
157,48,113,255,35.620892504380365
165,51,126,255,47.951911213062246
179,62,143,255,66.92305005135401
159,52,132,255,52.74629590291074
143,40,113,255,41.368963170461946
135,34,100,255,39.96432455746891
157,59,120,255,39.78455364979229
149,49,109,255,32.1679938012015
132,24,48,255,55.282508599343814
142,33,56,255,40.33982718022013
130,31,49,255,51.02906160913126
164,59,56,255,26.051032407908245
185,67,67,255,32.83670924067205
192,70,69,255,39.11389741631522
198,83,80,255,47.4048371987224
198,86,82,255,48.82020496734484
192,64,65,255,39.7430412105271
157,18,23,255,72.45576856361461
174,29,36,255,58.470460359674824
187,42,49,255,48.908667743721075
149,103,69,255,42.822120823201956
92,79,63,255,67.84382912253531
93,76,82,255,63.92120462158086
110,99,107,255,64.20769062600115
120,36,72,255,44.83682705712906
133,40,87,255,32.23311415935986
143,39,98,255,31.672768693916446
156,46,115,255,38.235986816269644
176,59,138,255,61.279247485359896
147,41,116,255,42.30274345966668
135,34,102,255,40.983350159099494
137,38,102,255,37.31387256919343
172,71,139,255,61.557969906909314
139,43,89,255,26.691074875626285
140,30,59,255,41.61624539254111
143,41,62,255,30.684232175734355
140,39,37,255,51.55254415855434
178,64,64,255,27.970664989494267
187,69,69,255,34.26791418134516
192,77,74,255,39.98871320868647
198,86,82,255,48.82020496734484
199,92,84,255,52.92938667969731
163,28,32,255,59.740825184050145
172,27,32,255,62.09884470068713
181,32,38,255,58.00381221962827
208,63,70,255,53.6235274911442
124,94,68,255,46.35925205586505
94,74,75,255,62.74777727189768
101,80,85,255,57.415922285576876
93,77,90,255,64.84165406653695
122,37,78,255,41.91405903627025
133,36,89,255,35.54133707326704
142,36,100,255,35.37991367496269
163,49,124,255,46.20979680113088
177,55,140,255,63.824500253812225
160,51,130,255,51.0815324377074
141,39,112,255,41.78711777301238
132,35,104,255,42.96589845555387
147,52,118,255,39.87813245623888
163,63,123,255,43.301998860091146
133,34,81,255,36.02913056193977
142,40,64,255,30.679528994356204
125,33,46,255,54.399747617512794
165,56,59,255,24.24643306457563
181,66,69,255,28.272563832498825
181,67,67,255,29.281714479004123
195,83,79,255,44.74764474447971
192,85,77,255,43.24787086373525
199,92,84,255,52.92938667969731
196,68,69,255,42.56278024082608
169,29,32,255,60.239363294749914
180,26,34,255,63.77967480197664
196,45,52,255,52.443917566586094
168,120,82,255,59.1651742527939
110,79,61,255,52.134781252523254
93,74,78,255,63.5437448866922
90,74,77,255,66.53525858194142
133,117,127,255,75.3426694799399
119,103,114,255,64.17537254073866
115,38,72,255,47.837643149348885
129,40,86,255,34.95567337385283
130,29,87,255,42.33314368389293
147,34,106,255,39.026945933549655
171,49,132,255,55.52438810081054
183,56,147,255,72.38154919856832
147,45,121,255,44.91120402437879
136,38,111,255,43.59257169010897
126,30,101,255,48.24155204624936
157,53,114,255,34.898929922738006
132,25,77,255,44.08851170767458
131,31,59,255,45.0179026730853
129,35,51,255,47.96373603347553
141,40,44,255,44.99053569693785
169,60,65,255,20.65086454487543
176,61,64,255,26.348371756215254
190,76,75,255,37.63451919437518
190,81,74,255,39.88679742730298
196,85,78,255,46.620305464863286
205,87,85,255,55.64320629388448
174,35,38,255,53.69073130602741
174,20,28,255,69.79774718495644
186,32,40,255,58.99125633173693
198,59,62,255,46.51000162523355
153,97,72,255,35.85922742532688
99,71,60,255,60.604931102752936
90,77,84,255,67.14427630188307
89,78,86,255,68.47775270404601
124,39,80,255,39.04905649922348
132,33,88,255,38.19723846657102
143,30,100,255,39.705589264036384
161,40,120,255,45.769381339697304
176,49,138,255,62.60558498579436
181,52,142,255,67.5068825099819
162,59,140,255,60.07267745870682
135,38,117,255,48.41041104567904
118,24,100,255,56.95550881994249
141,47,121,255,45.704568926107314
144,43,99,255,29.084198137780476
118,19,63,255,59.73326632019493
133,36,55,255,42.812321137361586
133,40,50,255,43.79440853842355
154,49,54,255,29.53650213404556
175,62,66,255,24.312249371388624
181,67,67,255,29.281714479004123
191,80,73,255,40.476557538631695
196,83,77,255,45.73916948285293
202,78,78,255,49.26173014984361
200,64,66,255,46.897916190157254
176,22,30,255,67.67396826460448
175,20,28,255,70.07091536312855
