R,G,B,Transparency,Distance
165,153,177,255,63.69121003032932
174,162,184,255,67.26698915408429
181,169,189,255,71.66913421099916
171,158,176,255,61.70145388403982
150,137,154,255,61.05559128278335
193,67,149,255,60.66892536800648
200,69,162,255,60.92511179029256
212,80,179,255,60.104256383861944
202,76,176,255,61.481284339948765
215,93,192,255,62.01195788285713
219,99,196,255,63.300102838084186
220,99,194,255,61.702034612524834
221,96,190,255,59.79578278400494
228,108,198,255,64.26073885372799
208,96,180,255,49.939232145535385
175,77,154,255,60.067893118763465
180,103,171,255,47.66563305465995
201,120,189,255,50.415360959036995
227,134,205,255,68.95090692851151
222,111,188,255,52.531086469548455
228,110,188,255,54.699774156646626
230,117,189,255,54.89649737992273
191,89,155,255,42.77879066020831
206,103,98,255,46.849783303541614
207,109,100,255,42.45971310283394
210,110,100,255,42.126909397961555
221,117,108,255,34.82914600452173
228,119,116,255,31.280698469535785
237,129,127,255,31.736407479021203
226,125,121,255,25.664180023541242
234,133,131,255,28.42512731378034
247,139,139,255,41.41494793221422
231,106,110,255,41.80375294950133
247,120,114,255,46.739368712906916
247,141,128,255,43.628809699400456
237,134,125,255,33.55221981088434
215,82,109,255,53.05739847858477
209,85,111,255,49.003381060811634
220,100,127,255,30.3133724310303
220,101,129,255,28.716636187780757
227,104,135,255,28.607902409431446
234,109,143,255,30.707866024627936
237,112,146,255,32.433994123927754
241,117,151,255,35.87035351772636
235,114,147,255,30.10886706576972
216,91,125,255,37.723035422929755
179,167,189,255,71.24955715602609
174,162,182,255,65.95568669531401
178,165,183,255,66.41823245546422
172,159,176,255,61.65267320414001
141,129,143,255,67.25449137972359
185,62,142,255,67.10865728483903
197,67,157,255,61.60545843189248
200,69,165,255,62.104042382662605
203,77,176,255,60.596460506384524
205,83,182,255,59.93479615646471
210,90,187,255,59.1602079287978
218,99,193,255,60.45599149204052
221,97,191,255,60.17418610457708
221,101,190,255,57.539401767142145
219,107,191,255,55.79928628977948
186,88,165,255,50.117713703742396
160,77,147,255,68.32070937155123
168,88,157,255,57.290534346758164
194,111,181,255,46.140545852168756
222,129,200,255,62.39051210873431
236,125,202,255,68.63045554182746
229,112,190,255,56.35417145517577
228,114,189,255,54.649891102963245
223,118,187,255,50.45241992851454
212,109,102,255,40.79447084192289
211,108,99,255,43.853885983483806
216,112,103,255,39.38804192048847
220,111,108,255,36.32959664823438
228,120,118,255,29.63489062812667
229,128,124,255,26.146530846848773
227,126,122,255,25.70954004441854
245,137,135,255,39.11319552009384
244,124,126,255,38.368447719868705
221,94,88,255,61.33498552454024
242,134,124,255,38.34149495165154
245,141,132,255,40.951152899034966
223,111,110,255,35.76778788636541
215,81,108,255,54.43978782764454
214,87,114,255,46.03411156825726
220,97,125,255,33.63119170585331
217,97,125,255,32.68420444649835
226,103,134,255,28.880473805890485
234,109,141,255,30.533224745860483
235,110,142,255,30.961397358582737
243,119,153,255,38.01766546641597
240,116,150,255,34.87623759054059
230,105,139,255,29.692621705184454
167,155,177,255,63.281400417120224
172,160,180,255,64.6489905676861
176,163,181,255,64.87465588716773
187,174,191,255,74.26982434635812
158,146,160,255,58.07565696569755
188,62,146,255,66.42109727067053
192,63,156,255,66.15149893792113
201,77,173,255,59.03407181837459
198,78,175,255,59.83282080932393
206,87,181,255,56.41775563692472
217,98,190,255,58.10250744903851
221,98,189,255,57.99385203913209
213,93,180,255,51.97542716704417
224,112,194,255,58.41675010746177
199,98,174,255,44.85020157247096
167,80,151,255,61.99024917640589
180,93,164,255,49.163859308903355
209,113,185,255,47.22751781970847
241,133,209,255,77.49602883722095
236,122,200,255,66.87522661862361
229,115,192,255,57.56419141259468
227,120,192,255,56.20513048750652
208,111,180,255,43.00776974212649
217,105,103,255,42.41468096063473
213,106,98,255,45.744763795424554
214,107,99,255,44.55237061834097
218,109,104,255,40.0310347628996
219,111,108,255,36.012585497363986
233,129,126,255,28.585290531985702
226,125,121,255,25.664180023541242
241,133,131,255,34.93595299592929
250,134,135,255,43.14348369921148
238,107,112,255,44.36024521337897
239,122,115,255,39.49112328515823
245,136,129,255,39.93378235508795
210,102,100,255,45.58816851195213
217,87,113,255,47.07007172218324
216,92,118,255,40.070482234369244
216,93,121,255,37.70591204965806
224,101,130,255,30.277482042233974
231,106,138,255,29.820913371939938
231,106,138,255,29.820913371939938
241,116,150,255,35.79504472535672
241,116,150,255,35.79504472535672
246,118,153,255,40.952329596470236
210,80,116,255,50.70261899403269
175,162,182,255,65.44528925651466
169,156,174,255,60.73227136683296
183,170,187,255,70.19035230271736
173,161,175,255,61.62577891775307
154,142,156,255,59.054726143959606
191,67,155,255,62.42545647160021
194,70,164,255,61.870948125497065
200,79,174,255,58.14236678213808
206,87,179,255,54.95696433303498
211,91,181,255,53.850043981179496
214,91,181,255,54.09830932691262
210,90,177,255,51.44369825500721
219,106,188,255,53.380409266388405
209,105,182,255,47.127488991596564
183,89,163,255,49.81304640978508
193,95,168,255,44.12150239037123
231,124,202,255,66.7564499684694
235,122,202,255,68.29390806857582
233,119,197,255,63.1292721029459
222,109,187,255,52.18302969051397
223,117,192,255,55.33656394521267
191,92,156,255,40.688091768154734
213,101,97,255,48.8977370286995
213,104,97,255,47.498810055716866
221,109,105,255,40.02038468888657
215,106,101,255,43.330045062796735
229,126,121,255,27.8657387293039
231,127,124,255,27.684981646524122
232,127,124,255,28.520019060071274
238,126,125,255,33.230849304621046
250,130,131,255,43.07867276644702
246,128,124,255,41.05492428977172
223,117,117,255,28.03684128187264
206,91,98,255,53.53792221280099
216,83,110,255,51.821017418902116
212,83,111,255,50.79401878035432
221,94,123,255,37.33827582237585
222,97,127,255,33.60980265931401
227,102,134,255,30.26492395955156
232,104,137,255,31.933895702921717
237,109,144,255,33.408389399138784
238,110,145,255,33.97720993930072
246,118,153,255,40.952329596470236
227,99,134,255,32.6008796215105
158,145,165,255,59.694811873535656
174,161,179,255,63.482756323656695
172,159,177,255,62.252708570945885
180,167,184,255,67.43659701775513
172,160,174,255,61.052488190121714
145,131,144,255,63.49288292721662
186,67,149,255,62.77089736796488
183,63,153,255,68.22447121348623
198,77,170,255,57.82022973487521
202,82,172,255,54.321767456900034
198,78,167,255,55.43631983077141
202,82,171,255,53.7262208650384
212,94,180,255,51.27924701252936
