R,G,B,Transparency,Distance
34,21,49,255,36.06271363020565
78,65,75,255,62.90667358911551
23,7,18,255,47.508613827523874
15,0,10,255,59.526913455693226
17,1,12,255,56.71129210960306
30,14,25,255,37.56482058251935
71,38,57,255,30.58479039651334
102,35,70,255,53.69754158143242
109,35,58,255,51.84055488162351
98,31,49,255,37.31055226415404
82,21,37,255,16.29684822940449
73,9,33,255,12.649480717331704
93,19,54,255,34.03358026242951
91,7,66,255,43.19266696769944
75,0,37,255,21.934272581690028
119,26,47,255,54.933769576076806
117,0,2,255,62.610098721673545
120,0,4,255,64.13754224063585
126,7,11,255,64.89381348677263
138,2,24,255,74.42587686354003
29,16,42,255,38.53005708891048
43,30,56,255,34.33161829047467
63,50,60,255,40.743161933843055
15,2,12,255,58.14484812767877
11,0,6,255,64.5692109824264
15,0,10,255,59.526913455693226
48,17,35,255,18.581040680809767
95,34,67,255,46.789769463567964
104,37,55,255,46.99973452401871
87,26,44,255,24.321621601196
77,15,38,255,12.762242727110955
81,10,44,255,20.819247618711497
77,0,40,255,23.523402693740117
103,11,36,255,37.87376207665241
123,21,35,255,56.78408358832471
135,20,23,255,69.4491940676987
106,0,0,255,55.25131104351219
119,3,6,255,61.53138733480728
29,16,42,255,38.53005708891048
23,11,35,255,44.18310345344461
75,63,87,255,69.7991905497647
40,27,37,255,27.56018734680707
17,1,12,255,56.71129210960306
11,0,6,255,64.5692109824264
30,3,20,255,41.97855157999682
77,24,52,255,22.283498778377012
98,31,64,255,45.81071467792394
95,33,54,255,38.017918697667156
80,18,43,255,17.103496996263488
74,7,40,255,16.463008200626376
94,13,56,255,36.68055389912709
76,0,19,255,26.03312974327307
112,17,37,255,45.99129040105805
102,0,0,255,52.448534378353834
114,1,3,255,59.3743671196599
125,10,13,255,62.78291432812566
139,0,23,255,76.00926794374952
32,20,44,255,36.00684981202727
32,20,44,255,36.00684981202727
40,28,52,255,33.49164393519637
80,66,79,255,66.72460349650737
26,12,25,255,41.76234064462298
8,0,7,255,66.75995804350578
18,0,11,255,56.56810353037743
48,6,28,255,23.369471915300675
81,27,51,255,24.414258818576194
103,37,65,255,51.725621355650894
103,30,59,255,46.19359340964466
105,31,58,255,47.48954037959838
100,36,60,255,46.20659228121506
82,20,45,255,19.819910557951975
79,14,44,255,17.799995393088942
83,7,45,255,24.222453961956045
91,3,45,255,32.18876250710282
90,1,29,255,30.476885049751818
119,21,44,255,53.89341422478141
116,14,12,255,54.265436246897096
109,1,1,255,56.54013000810775
121,8,10,255,60.492667559335054
44,32,56,255,34.326210153904555
30,18,42,255,37.419166056472534
28,16,40,255,39.08829419836384
67,53,76,255,54.426621535855986
54,40,53,255,31.052898841393798
19,5,18,255,51.71117614726483
14,0,8,255,61.1782875669525
23,0,9,255,53.2359624828085
58,17,35,255,8.93876986815449
88,33,56,255,34.35571962366894
98,32,59,255,42.85660790121379
105,30,60,255,48.3516321354314
108,35,64,255,54.21804298068699
100,35,59,255,45.28094744070429
89,27,52,255,30.543022314585915
83,21,46,255,21.259785441937723
75,6,37,255,16.751251319146263
96,11,53,255,36.90419287347416
73,0,26,255,21.955649453524245
97,7,35,255,33.31970754381322
120,21,42,255,54.50466812725125
103,0,1,255,52.52062797705763
111,2,5,255,55.63909984042092
127,8,12,255,65.30204170903116
78,64,87,255,70.85833034611686
29,15,38,255,37.90213023499978
35,21,44,255,33.188389708193895
33,19,42,255,34.4843437866944
44,32,44,255,27.7318100435805
10,0,7,255,65.02169872254518
14,0,5,255,62.461780440646564
33,5,17,255,39.71709877152668
67,22,42,255,9.36558783232072
97,37,63,255,46.330832948527394
106,33,63,255,51.559673107006134
100,31,59,255,44.09122508785935
99,35,61,255,45.739539244180165
86,24,47,255,24.60124879012843
71,7,33,255,13.561564066640296
83,7,43,255,23.29208821466241
71,0,22,255,23.037131571711054
105,15,40,255,39.64960324003425
123,21,35,255,56.78408358832471
109,11,10,255,49.280148551015806
99,0,0,255,50.45250041618541
115,0,3,255,60.499571125857216
137,17,19,255,72.14542261872246
139,10,28,255,73.54416189026996
54,40,63,255,38.27939444598307
37,24,44,255,31.577596041377102
30,17,37,255,36.593677243047296
67,54,74,255,53.49423564378432
78,66,78,255,65.6516599462771
19,7,17,255,51.47918825072412
11,0,4,255,65.42917624694375
19,0,6,255,57.86968320348945
43,9,25,255,26.818764892114825
78,29,51,255,23.448371140828165
103,38,68,255,53.96694151313609
108,34,67,255,55.72542526190295
104,31,61,255,48.35391034732672
104,34,62,255,49.71870523939358
89,26,47,255,27.45504394306709
78,15,36,255,13.00513707285024
77,11,38,255,14.715528126647355
87,11,47,255,26.516407438558858
98,12,59,255,41.77377746745733
86,1,32,255,27.20828481465554
114,21,40,255,48.267639519019184
122,20,31,255,55.7671379276778
100,4,5,255,46.53775112068469
105,1,2,255,52.99085429594329
117,4,6,255,59.55471718005371
29,14,33,255,37.70244955115432
35,20,39,255,31.849214075537283
34,19,38,255,32.66837637100122
59,49,58,255,39.22191619991862
10,1,4,255,65.98556257849988
11,0,3,255,65.8777212195739
27,1,14,255,47.44494798452318
55,13,35,255,13.27326543033416
86,30,59,255,34.262938641335246
102,28,55,255,42.79962123581787
94,26,47,255,31.719122070175654
85,22,41,255,20.51767641152955
73,12,30,255,10.651129618195897
73,7,34,255,14.420411852582625
98,17,60,255,41.785901024087195
76,0,32,255,22.00141383494727
94,8,33,255,30.10290793126953
115,21,35,255,48.792570354375805
114,20,21,255,49.20596440237892
96,0,0,255,48.55986859591995
108,4,5,255,52.625844473508685
137,21,24,255,71.30781747159479
138,14,25,255,72.39681147892631
48,33,52,255,29.551946296065598
33,18,37,255,33.557014053776896
34,19,38,255,32.66837637100122
70,55,74,255,54.26425365882947
34,25,28,255,33.07091485111031
10,0,3,255,66.71888413100525
18,1,11,255,56.22750532318134
28,0,15,255,46.63698828265337
64,18,46,255,13.35679635811374
92,31,62,255,40.418161219658906
103,28,59,255,45.78956252690992
103,31,53,255,43.34526943418462
91,27,44,255,28.053197834582395
74,17,32,255,8.247860771430386
78,19,41,255,14.246979259191486
78,7,41,255,19.07857971320694
76,0,24,255,23.732648410549352
98,10,32,255,33.197963249694986
90,0,0,255,45.13615975765618
100,4,5,255,46.53775112068469
109,0,3,255,55.78001600957376
140,8,22,255,75.45479877536923
76,63,80,255,64.6735726236894
35,22,39,255,31.930181222773786
35,22,39,255,31.930181222773786
39,25,42,255,29.213866465303777
73,64,69,255,57.504144108031745
23,12,16,255,47.10384882892014
8,0,4,255,67.98222667845953
26,3,19,255,45.77376134747016
43,5,28,255,27.9683201635025
73,20,48,255,16.4910832803029
103,32,62,255,48.41818833449406
107,31,59,255,49.651673723350164
107,33,56,255,48.65330292395982
100,33,51,255,40.501562380730356
84,27,42,255,21.201967654560043
71,16,35,255,6.3529586081631875
75,10,40,255,14.840530514302495
102,19,63,255,46.69467879194961
105,18,61,255,47.85393471065022
89,2,34,255,28.835267349756656
104,10,34,255,38.97561528509736
106,14,15,255,43.970443378493826
94,3,2,255,44.78932336318952
100,0,2,255,49.84100073415506
51,39,53,255,31.73809301796146
32,20,34,255,34.28503639619718
25,11,26,255,42.74516786895312
64,50,67,255,45.6310262502705
57,46,52,255,33.764858098999916
8,0,7,255,66.75995804350578
17,3,16,255,54.715139527460124
23,0,15,255,50.82012799166673
53,9,32,255,17.076690054005663
89,26,53,255,30.95799001120936
105,32,59,255,48.2694666904465
108,39,58,255,52.357487988030655
92,35,50,255,34.44880857912358
67,13,29,255,7.819060578766022
76,14,39,255,12.803558858893496
82,6,42,255,22.74580732547439
93,4,48,255,34.466456304464145
81,0,26,255,25.568882848203884
118,24,48,255,54.04806473889763
127,20,40,255,61.14101324854856
93,3,3,255,43.482430764674305
93,1,2,255,44.97171108869651
103,3,5,255,49.08741408668905
81,69,81,255,70.39594676710897
31,19,31,255,35.328574775061185
37,25,39,255,30.351471681759023
32,20,34,255,34.28503639619718
35,28,36,255,32.491840917056386
6,0,7,255,68.51250025488682
15,0,11,255,59.14859573000295
37,4,21,255,35.30065630623341
61,9,31,255,12.092461251125801
97,34,55,255,40.43484163455859
106,39,57,255,50.29189090054438
95,37,52,255,38.56791815670781
73,16,33,255,7.686578389137387
77,15,38,255,12.762242727110955
78,7,37,255,17.764582708137613
95,9,48,255,34.1581030826765
83,0,38,255,26.342598431755864
98,9,39,255,34.032975258877066
118,19,40,255,52.21551113067626
106,14,15,255,43.970443378493826
91,2,6,255,40.638889187257824
97,3,4,255,45.40576340140087
47,35,47,255,28.328468999034612
38,26,38,255,29.39652280833851
31,19,33,255,35.274836614455836
51,39,53,255,31.73809301796146
76,70,80,255,69.55390083112403
10,5,12,255,61.816228858921264
10,0,8,255,64.62912854151112
23,1,13,255,51.18653655400813
37,0,14,255,40.05106247508476
75,24,41,255,12.62903587151808
95,34,52,255,37.319408588666725
100,35,55,255,43.10397192891735
98,35,54,255,41.03559598670865
87,24,43,255,23.436601510292785
75,12,33,255,11.648378545857389
80,15,39,255,15.728056170029548
83,13,39,255,19.015826970973592
84,0,36,255,26.686911454768868
109,15,41,255,43.73845678520716
94,5,11,255,38.3037084947361
93,2,7,255,41.2498675444993
112,9,10,255,52.275835389906376
78,68,77,255,66.40934827358004
30,18,30,255,36.427442582825904
41,29,41,255,28.099900725041703
35,23,35,255,31.507248145230538
41,38,45,255,33.440310800590794
6,1,7,255,68.23155215163109
11,0,5,255,64.99292311954711
27,1,10,255,49.17937864771353
44,6,19,255,29.636920261438576
80,27,45,255,19.67164641418302
97,35,56,255,41.34805179360271
106,38,61,255,51.96252570445649
101,33,56,255,43.75335375746922
77,12,32,255,13.24805941534994
76,15,33,255,10.811818981080052
74,15,33,255,9.05351439413773
92,23,51,255,31.60441661622928
98,4,54,255,41.19317400726593
95,2,33,255,33.751409040906154
118,21,40,255,52.22665639620777
106,15,24,255,40.998883767412615
89,0,5,255,41.064863577271645
99,0,3,255,48.546510194393846
125,19,19,255,60.37011015192155
48,36,46,255,27.73888742905547
38,26,38,255,29.39652280833851
34,22,34,255,32.36598620733072
62,50,62,255,42.18704177243802
20,18,21,255,47.81616335219261
7,1,3,255,68.98983662351445
23,8,13,255,49.06256871902466
26,0,8,255,51.306517231180656
59,15,32,255,8.711680128095155
90,31,53,255,33.05710041966724
108,35,62,255,53.097931053066056
108,34,59,255,51.22986834320456
92,24,45,255,28.736796270264406
72,14,29,255,9.002388192377573
63,16,26,255,8.52738497256389
74,20,36,255,8.317756062694423
110,25,64,255,53.8953180990848
95,1,37,255,34.52517052065933
98,7,25,255,35.09470118843174
121,26,32,255,55.10085369199193
127,27,29,255,61.29571895333591
98,2,13,255,41.45470476368262
96,0,4,255,45.93988074790728
105,5,5,255,49.97667019923032
85,69,69,255,63.876541230646005
26,16,25,255,41.211905652336384
37,27,36,255,30.31611807486566
31,21,32,255,35.30403918245893
40,38,43,255,33.54972176491562
8,6,9,255,64.4716217228901
17,11,15,255,53.15354818823285
19,2,10,255,55.447958256737756
37,1,15,255,39.09952141008585
75,22,42,255,12.78403154814823
97,27,53,255,37.41251649592902
106,32,57,255,48.043731801745494
77,16,32,255,11.394698313346836
63,18,25,255,8.76227019044435
69,19,31,255,3.4300181833310823
84,11,41,255,21.333265001801525
114,19,63,255,56.40894315843945
88,0,24,255,30.672698631640706
113,21,34,255,46.7619788259885
124,27,34,255,58.20039482823831
128,24,31,255,61.91195090132872
111,14,25,255,45.79031197301034
93,2,9,255,40.02196240788552
95,0,4,255,45.299094800388126
118,14,15,255,55.05429803085345
46,36,44,255,28.254391985451804
29,22,29,255,37.54622537403062
33,30,37,255,35.05791503133096
40,37,48,255,34.86425919200102
