R,G,B,Transparency,Distance
19,18,24,255,48.13761188650069
0,0,5,255,74.57190401385799
18,8,16,255,52.47972214228325
22,0,9,255,54.05185517698354
46,3,20,255,29.28537599404734
80,21,41,255,15.970903559172529
98,29,50,255,37.202368551425984
102,33,52,255,42.619347875638695
95,31,47,255,33.918688764817105
71,17,30,255,6.198979317053723
63,11,24,255,12.907373966319021
71,13,35,255,8.462507284627558
93,24,55,255,34.91844249065811
101,4,49,255,41.361295780432265
96,1,31,255,35.18287005432618
121,23,44,255,55.93383090123927
124,23,39,255,58.141832127410154
124,22,35,255,57.814174907267564
125,28,39,255,59.62254091997228
93,7,18,255,33.160128552679446
87,1,10,255,36.14540756470586
99,0,5,255,47.33887994654975
81,72,77,255,69.9422874210829
32,27,31,255,35.08887276322189
29,28,34,255,38.19327039224951
27,25,36,255,39.739859655835524
74,65,82,255,67.20946084701231
60,57,66,255,50.222535944611394
10,9,17,255,59.45661424994479
7,2,9,255,66.3309677511379
19,2,12,255,54.650544163625646
34,2,15,255,40.950709788115674
57,9,25,255,16.24042172796068
83,22,40,255,18.30144221813461
99,35,52,255,40.84334571068225
100,33,51,255,40.501562380730356
83,22,37,255,17.36761162205451
72,15,30,255,7.982979536543874
66,15,30,255,5.562377360133594
84,26,50,255,25.392223706047922
97,0,42,255,37.61448450768883
107,10,43,255,43.06296678669134
99,15,28,255,33.43751936778497
82,0,11,255,33.43184341995789
88,0,3,255,41.92436600216006
120,17,18,255,55.838695774603075
51,47,48,255,34.70515717911685
25,20,26,255,41.849582276875395
31,23,34,255,35.4364941949092
39,26,43,255,29.734407055921256
42,36,46,255,32.01027890252536
7,0,8,255,67.25719512322077
18,5,15,255,53.55625296197319
27,3,16,255,45.917241070031075
36,0,13,255,41.26160443700679
60,12,28,255,11.099556992873651
89,32,49,255,30.421660827846495
99,36,53,255,41.699686545068005
92,29,46,255,30.31198608426786
81,20,36,255,15.047845018481325
64,10,26,255,12.152729767355968
79,20,42,255,15.624533289792799
93,18,51,255,32.30160543727119
99,1,40,255,38.355636702828555
112,14,39,255,46.48288547152875
118,28,38,255,52.63546200711354
94,6,18,255,34.35806690113301
84,0,0,255,42.29048353098259
96,2,2,255,46.42661711003991
33,23,31,255,33.48679700734933
33,21,31,255,33.349685727479454
41,25,38,255,26.305275052134604
76,60,71,255,56.26720519938213
76,66,77,255,64.6382873816834
15,5,14,255,56.601902086987806
14,2,12,255,59.028456784786755
25,8,18,255,45.42664099900479
27,1,12,255,48.27853753703239
42,6,18,255,31.627753390311366
69,21,35,255,3.6525149563943873
91,34,51,255,33.79018633491908
100,36,53,255,42.48915757407197
88,24,41,255,23.56974843332413
65,7,22,255,16.822474121905557
71,10,28,255,11.880543637375686
84,11,40,255,20.976301970732532
109,10,56,255,49.51451082029374
98,0,30,255,37.471037921837265
124,25,45,255,59.213633450752795
111,20,29,255,44.90719967593019
84,0,2,255,40.75157542750678
87,1,0,255,43.19098256952917
114,19,15,255,51.000266737585804
78,76,81,255,74.93510182791287
63,48,55,255,36.018418237464594
28,11,19,255,41.65120259307084
38,21,29,255,28.571295080362415
51,36,43,255,24.485321770088916
51,39,51,255,30.513941827913833
7,0,6,255,68.02443967651278
17,7,15,255,53.95342077773424
21,8,17,255,49.40261276079599
26,3,13,255,47.943920576823494
44,8,20,255,28.295123776763624
79,28,45,255,19.393066727367657
104,39,59,255,49.74485788598596
98,29,50,255,37.202368551425984
78,15,32,255,12.677609601367854
66,3,20,255,21.140631851024757
80,12,37,255,16.260989970277937
98,22,58,255,40.49402068305616
103,5,44,255,41.08227545946564
109,11,36,255,43.7173852628817
126,26,34,255,60.07190064508302
120,25,33,255,53.992224973728895
90,8,10,255,35.02796844130528
79,0,0,255,40.449496045035595
90,2,1,255,43.56076106575925
80,79,75,255,73.97517920674963
41,20,25,255,26.48997998937525
30,14,17,255,40.02864143633919
37,25,29,255,30.003038521978013
16,9,17,255,53.81335241788129
7,4,11,255,65.1242444949017
17,12,18,255,52.05949055314386
16,5,13,255,56.04584749999427
26,0,10,255,50.364318847105466
64,20,37,255,4.652040758022551
97,34,55,255,40.43484163455859
101,32,53,255,41.945978274110644
93,29,45,255,30.76000979356977
71,9,24,255,14.736128874157277
75,12,33,255,11.648378545857389
79,10,39,255,17.117155378910912
94,0,30,255,34.14996441213664
116,19,38,255,49.99324347652919
128,28,36,255,62.36130604899762
106,24,26,255,40.56294532350005
78,0,0,255,40.14594720392033
84,0,0,255,42.29048353098259
111,15,19,255,47.092642533755814
76,51,54,255,38.94881318807988
30,16,15,255,40.63557884895107
30,20,21,255,38.18633325402245
54,44,55,255,35.02594039241271
53,48,55,255,38.244998605765474
7,6,12,255,64.33843492028106
11,12,17,255,58.03705441352784
16,11,17,255,53.451294971598806
18,0,9,255,57.37372599443089
47,9,24,255,23.790792602567194
76,17,39,255,11.776127249134596
95,27,50,255,34.19734243993501
98,34,50,255,38.75469410356071
84,22,35,255,17.997018761796358
70,12,27,255,10.428027049362557
66,7,29,255,13.310933395810393
88,21,54,255,30.284077568617562
114,15,59,255,54.58231391021799
104,9,39,255,39.68666432639168
120,34,37,255,55.747738279652786
91,11,12,255,33.56151341338164
87,2,7,255,37.639920988949825
94,2,7,255,41.90484728329324
82,72,73,255,67.71983769924314
35,21,20,255,33.86736454094671
29,20,23,255,38.57379027953221
32,24,37,255,34.77212455225175
69,61,74,255,58.28925011373637
12,11,17,255,57.22920863118148
8,11,16,255,61.30432901265616
19,18,23,255,48.33349487535161
15,2,11,255,58.512566278715695
33,2,17,255,40.92312159760721
55,3,25,255,21.66402280366952
82,20,41,255,17.675323177987067
93,31,46,255,31.81894387719388
94,34,46,255,33.817981849780246
67,13,26,255,9.686529539789564
64,9,28,255,12.013023162091953
70,10,36,255,10.840031082983785
101,29,66,255,48.83704952537594
103,6,49,255,42.3656716118246
102,6,34,255,38.28630575907767
123,32,37,255,58.18969193765393
107,20,26,255,41.32177531683627
86,0,7,255,38.093765408098214
86,0,2,255,41.660775396271234
110,13,20,255,46.09979656131547
79,77,80,255,75.22109548479214
62,48,48,255,32.32864271885543
23,12,16,255,47.10384882892014
38,32,42,255,32.12568233313366
23,17,29,255,43.53183926999542
64,61,68,255,54.20973809396576
4,5,10,255,67.97243799816741
12,11,16,255,57.51590535914013
24,13,21,255,44.433478392859385
23,0,12,255,51.95552478110669
37,0,14,255,40.05106247508476
62,9,29,255,12.18549834712993
85,27,41,255,21.65375566853634
97,39,51,255,40.52745615206236
80,30,41,255,18.955419306899294
60,12,26,255,12.124119056598946
62,9,29,255,12.18549834712993
83,18,48,255,22.57074048501802
98,2,40,255,37.017188322816516
118,21,38,255,51.99440100422434
122,25,32,255,55.99095206494355
104,12,23,255,39.77599978095627
87,0,6,255,39.300084797553296
85,0,0,255,42.719429428325725
122,30,31,255,56.707969908060605
86,75,69,255,68.89244719167067
85,70,73,255,66.96421688121377
33,21,25,255,34.22840677716759
29,22,29,255,37.54622537403062
24,17,25,255,43.09378004477187
60,48,58,255,38.30458648707676
31,28,35,255,36.28716248647722
9,4,11,255,63.309529518284364
27,15,25,255,40.33985378071642
35,15,27,255,32.17494262260899
36,3,20,255,36.918649936567355
38,0,12,255,40.327984777832256
65,15,27,255,7.691978593959935
82,30,42,255,20.86480719213304
79,33,43,255,20.971295233654587
69,23,34,255,4.404764457576123
59,11,27,255,12.808221692570728
65,5,30,255,15.05507256874796
98,21,55,255,38.663611308641315
106,12,36,255,40.5881489092067
111,15,27,255,45.37114271174978
113,17,31,255,46.851315227359976
84,0,4,255,39.25425839782532
78,0,0,255,40.14594720392033
99,15,13,255,38.62024640554498
84,75,70,255,68.8791907946956
61,42,48,255,27.407743058790732
32,20,24,255,35.417992715443965
37,26,32,255,29.95118014712242
24,14,25,255,43.385802113278004
73,66,74,255,62.23668838905005
15,5,14,255,56.601902086987806
19,7,17,255,51.47918825072412
30,14,25,255,37.56482058251935
31,9,22,255,38.449466261063115
28,0,12,255,47.8717016855172
50,8,20,255,23.862144705091485
68,22,33,255,2.872686445596678
75,32,42,255,17.58555205482378
72,29,39,255,12.482098122386468
64,16,30,255,5.252880442826554
64,7,26,255,14.660927230694503
84,14,42,255,20.711281960358765
113,19,55,255,51.67862812320778
101,6,28,255,37.66641538110307
101,11,21,255,37.74848709548643
78,0,2,255,38.52146128380157
78,0,0,255,40.14594720392033
117,23,21,255,52.22419885929336
74,70,67,255,61.22481071856841
86,65,72,255,62.973470250713206
42,26,27,255,25.7659019412028
31,19,23,255,36.65084699538649
28,18,29,255,38.50878231079973
61,48,65,255,43.0746637622566
43,31,41,255,27.08685591281787
15,3,13,255,57.49355035919637
20,6,19,255,50.23141806723619
24,10,23,255,44.494874436203396
30,10,22,255,39.108551752885525
37,5,16,255,36.88093812726353
55,15,26,255,14.050517764348985
70,30,39,255,12.508216682924338
73,30,40,255,14.175767917432015
68,20,32,255,1.9963317497873525
67,13,29,255,7.819060578766022
75,10,32,255,13.092659614764482
93,18,48,255,30.72596393957317
110,13,48,255,46.734076202993236
115,5,40,255,51.38985690403493
120,30,42,255,55.4526555564815
80,1,4,255,37.10283286514061
74,0,0,255,39.16424981166358
96,7,3,255,44.07316436082639
85,71,62,255,61.85188676501362
66,47,49,255,31.662607079294926
23,8,13,255,49.06256871902466
34,24,35,255,32.61631570445424
35,24,40,255,32.3388846418469
83,70,80,255,70.87310981329645
27,14,24,255,40.67700620663917
22,10,22,255,46.623616258597856
20,12,23,255,47.94892358743533
24,12,22,255,44.33796269015467
24,0,13,255,50.72419698671745
36,3,14,255,39.4254867505832
62,24,35,255,6.39017568299977
76,32,45,255,19.774355824640804
74,24,36,255,9.35484565869672
65,11,25,255,11.858860011439809
65,4,20,255,20.39714880830302
81,13,36,255,16.473114908420506
102,27,57,255,43.68559788561958
120,11,53,255,58.00923317179763
124,16,50,255,60.311947259102745
90,8,12,255,33.75151071677449
77,0,0,255,39.86517808191212
87,0,0,255,43.63346144275613
110,15,13,255,48.2973562402366
92,68,64,255,62.9155649992799
39,24,31,255,27.671926424458746
27,15,27,255,39.99387085028211
29,17,31,255,37.416772350812565
58,45,55,255,34.55802557738654
44,31,41,255,26.23284995266714
21,11,22,255,47.380153624450024
18,15,24,255,49.31550436934941
26,18,29,255,40.49687652481088
30,12,24,255,38.14247971012587
21,0,5,255,56.733822272056386
45,9,21,255,26.641389829631358
72,28,41,255,12.90064565172851
81,31,43,255,21.10830393191537
72,18,31,255,6.2910227376215095
60,4,17,255,23.24675372416331
69,8,24,255,14.98806757244246
86,21,45,255,23.157493084521704
107,2,42,255,45.32835772938233
113,26,34,255,47.16558865260382
84,0,0,255,42.29048353098259
85,0,0,255,42.719429428325725
91,0,0,255,45.66987596946212
78,64,64,255,55.34921047526858
64,51,61,255,42.085090790912744
28,12,23,255,40.28419665790603
22,9,19,255,47.632664437074126
37,26,34,255,29.954617252517934
83,70,80,255,70.87310981329645
28,18,29,255,38.50878231079973
16,13,22,255,51.881786073527756
28,25,34,255,38.64602432752211
40,27,37,255,27.56018734680707
20,0,9,255,55.70164935869331
35,0,13,255,42.000658891482004
56,12,25,255,15.100751572000837
77,25,38,255,12.98826462136355
84,30,43,255,22.83358134917523
67,14,24,255,10.639782414628502
60,6,19,255,20.53731961432988
73,14,32,255,8.877865755509488
101,31,59,255,44.86090484091543
114,15,44,255,49.220775316400605
106,15,20,255,42.05349765590111
87,1,4,255,40.222789316509385
84,0,1,255,41.516116732590035
112,17,23,255,46.88024610620343
82,69,79,255,69.26650035981005
42,30,40,255,27.28640945103891
23,12,20,255,45.81685693690359
25,15,23,255,42.7102867435391
50,39,47,255,28.882939382981576
45,37,48,255,31.270430697289527
14,11,20,255,54.54741498142031
24,18,28,255,42.590665059391384
38,28,37,255,29.735780427646546
26,6,17,255,45.42881661336061
35,5,17,255,38.05755170294051
39,0,10,255,40.72597582746173
56,10,21,255,18.505589892532008
84,34,45,255,25.766381413547666
74,24,33,255,8.843318578952127
60,10,21,255,16.622739571447017
65,11,25,255,11.858860011439809
83,19,43,255,19.532168019404722
96,0,35,255,35.73043705993035
87,0,4,255,40.697552291942756
85,0,4,255,39.71601006849292
87,0,5,255,39.992420704742884
88,56,57,255,48.66009486799506
52,49,58,255,41.09873643570682
23,22,30,255,43.428493765302086
23,15,26,255,44.07434787639796
30,17,27,255,36.85197011654864
84,68,78,255,68.38195968072084
18,10,23,255,50.22953245560977
21,11,22,255,47.380153624450024
36,26,34,255,30.93241732143566
39,27,31,255,28.29278292383622
31,10,17,255,39.90524673845353
28,0,6,255,50.78466416792334
43,8,15,255,31.6328092302331
59,17,27,255,9.774592062861748
74,31,40,255,15.394774025336439
60,14,24,255,12.326897259606513
62,12,24,255,12.558569470839618
69,12,29,255,9.082125152424949
94,25,53,255,34.62857771662318
94,0,34,255,34.03868203131738
111,16,24,255,45.76913539718284
93,2,9,255,40.02196240788552
75,0,0,255,39.37388876791042
96,8,22,255,33.77842371612711
77,75,80,255,73.39018914982888
34,37,44,255,38.240251614545464
14,6,17,255,56.3400526989605
28,14,27,255,39.14578318467457
50,37,47,255,27.58731867563817
70,58,70,255,53.41295230190443
23,11,21,255,45.72423113625353
30,21,26,255,36.94986903333771
46,35,39,255,26.100074564529784
39,22,28,255,27.807600085978073
24,1,9,255,52.058758847222556
32,2,10,255,44.88336628425978
49,14,21,255,21.760798580667633
64,24,33,255,4.8536326102127605
70,27,37,255,9.138026510842579
54,8,19,255,21.958087627263012
61,9,22,255,16.19571108912443
78,15,36,255,13.00513707285024
108,33,63,255,53.1161858353564
108,2,38,255,45.61483160948112
96,3,13,255,39.51133075579958
86,0,13,255,34.289250073246194
83,0,14,255,32.05404282868498
114,27,36,255,48.382283190527225
93,66,59,255,59.465571388304774
59,57,62,255,47.82704944099586
24,14,25,255,43.385802113278004
29,17,29,255,37.5740462369049
21,9,21,255,48.027200319370884
74,61,71,255,56.680253104582015
33,20,30,255,33.39934982910637
16,6,14,255,55.44205976609485
40,31,36,255,28.753939672693882
59,44,51,255,31.12439497051916
29,8,17,255,42.19402060449203
33,6,15,255,40.209750684785746
34,1,10,255,43.79342254216864
53,18,25,255,15.560554132691756
67,27,36,255,7.937670757278468
61,18,28,255,7.426770893515082
61,11,23,255,14.232640114957375
66,5,23,255,17.759482102796042
94,21,48,255,31.579986810446943
107,0,44,255,46.58005883736673
121,16,46,255,56.38905227891036
113,19,33,255,46.73773290140089
92,4,18,255,33.650905169076424
83,0,8,255,35.92831688299324
90,3,12,255,35.79461393059171
77,60,52,255,45.842196284884224
80,71,72,255,65.91177544340944
47,37,46,255,28.992468681526695
32,20,32,255,34.282033459949545
19,7,19,255,50.895114947241815
40,27,37,255,27.56018734680707
80,68,78,255,67.45542080653091
17,10,17,255,52.68703417059428
26,16,24,255,41.416400329185336
61,48,57,255,37.50470701223519
52,32,43,255,21.34637121860845
34,8,19,255,37.05218676810753
27,0,7,255,51.02666374084335
43,10,19,255,28.813372946689586
56,19,27,255,11.887502912426886
75,33,43,255,18.81320308154717
65,17,29,255,4.953430419333256
59,2,19,255,23.685201543668565
82,14,37,255,17.219556826412138
108,2,42,255,46.22904571630532
121,18,45,255,56.06947744837406
101,13,27,255,35.87101923985814
85,0,10,255,35.58060094179165
82,0,3,255,39.151814061403634
114,22,27,255,48.15608659428576
91,64,43,255,51.71473308194964
82,69,61,255,58.85571297028339
65,56,61,255,45.88605027131007
32,24,35,255,34.59616659888555
25,13,25,255,42.55831834747495
32,16,29,255,34.693239874078586
77,59,71,255,55.73940272824854
46,41,48,255,33.02472650561888
11,4,12,255,61.15659233386893
38,26,36,255,29.119575042944934
77,59,71,255,55.73940272824854
38,16,28,255,28.93623787009941
28,2,13,255,46.64725939673902
33,3,13,255,42.235910006279056
47,14,23,255,22.423401851928432
70,33,41,255,15.981471792707694
67,24,34,255,4.478243068082483
60,8,21,255,17.864809967373763
67,4,23,255,18.608649604741288
95,19,47,255,31.992080791750464
99,0,32,255,38.21974933037399
88,0,12,255,36.049674424475256
81,0,2,255,39.538550044628586
103,12,19,255,40.040650595342626
82,61,44,255,45.54765235328645
76,66,65,255,57.13906527412137
42,35,43,255,30.393536874858384
